metabolite,platform_name,super_pathway,sub_pathway,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
acetylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),1920,Fasting,2.04499118781564,2.9882578042296,8.87166345168411e-89,88.0519949415939,2.9882578042296
2-aminobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",1920,Fasting,2.7389395042126,2.97666870742198,2.70684885537318e-54,53.5675359936237,2.97666870742198
taurocholate,Metabolon HD4 [nt-ms],Lipids,Primary Bile Acid Metabolism,90,OLTT,2.5336313456027,2.97552129539576,2.60312171543397e-20,19.5845055248967,2.97552129539576
catechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,840,Fasting,-1.38842242360988,-2.9699694866927,1.20508850451912e-230,229.918981056315,2.9699694866927
mannitol/sorbitol,Metabolon HD4 [nt-ms],Carbohydrates,"Fructose, Mannose and Galactose Metabolism",600,Fasting,-0.346321702665469,-2.94514895523397,1.12230387151151e-75,74.9498895389326,2.94514895523397
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,720,Fasting,-0.164310097448648,-2.93173573952443,2.76861567710467e-91,90.5577373262684,2.93173573952443
leucine,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",1920,Fasting,2.8028041156809,2.9058395960276,6.02975998400467e-41,40.2196999747084,2.9058395960276
hypoxanthine,Metabolon HD4 [nt-ms],Nucleotides,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",45,PAT,2.38772350179691,2.8778745493289,1.05824296946626e-36,35.9754146081194,2.8778745493289
catechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,720,Fasting,-1.28210301749574,-2.86365008057857,1.20508850451912e-230,229.918981056315,2.86365008057857
hydantoin-5-propionic acid,Metabolon HD4 [nt-ms],Amino Acids,Histidine Metabolism,1920,Fasting,2.06238194556267,2.81068578430886,1.13149301349022e-19,18.946348123293,2.81068578430886
2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",240,OLTT,1.75732260311402,2.8078889820629,3.99387675505015e-24,23.3986053409244,2.8078889820629
glycolithocholate,Metabolon HD4 [nt-ms],Lipids,Secondary Bile Acid Metabolism,90,OLTT,2.44879728039426,2.74712469686737,1.86218146684365e-22,21.7299779999343,2.74712469686737
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,600,Fasting,0.0287178099404656,-2.73870783213531,2.76861567710467e-91,90.5577373262684,2.73870783213531
mannitol/sorbitol,Metabolon HD4 [nt-ms],Carbohydrates,"Fructose, Mannose and Galactose Metabolism",480,Fasting,-0.137264305988641,-2.73609155855714,1.12230387151151e-75,74.9498895389326,2.73609155855714
o-acetylhomoserine,Metabolon HD4 [nt-ms],Amino Acids,"Glycine, Serine and Threonine Metabolism",360,Fasting,0.483792109902063,-2.70782958844223,2.6495403138587e-50,49.5768294681281,2.70782958844223
catechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,600,Fasting,-1.12459868161111,-2.70614574469393,1.20508850451912e-230,229.918981056315,2.70614574469393
4-methyl-2-oxopentanoate,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",1920,Fasting,2.07015397730549,2.70097753644476,4.2231239995126e-34,33.3743661666183,2.70097753644476
acetoacetate,Metabolon HD4 [nt-ms],Lipids,Ketone Bodies,960,Fasting,2.05305907114659,2.70068231766032,5.04110482025306e-80,79.2974742721345,2.70068231766032
o-methylcatechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,1920,Fasting,-1.50491522029201,-2.70042413327193,7.80303044979663e-79,78.1077366983321,2.70042413327193
2-hydroxybutyrate/2-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",960,Fasting,1.7265468344079,2.69703513142269,2.93072275304911e-77,76.5330252639621,2.69703513142269
s-allylcysteine,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,1920,Fasting,-0.6045923060724,-2.67533938416603,2.58077070457667e-81,80.5882505797881,2.67533938416603
1-linoleoyl-gpe (18:2),Metabolon HD4 [nt-ms],Lipids,Lysolipid,360,OLTT,1.75184903709479,2.6732185523279,2.12195673370515e-60,59.6732634755264,2.6732185523279
1-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],Lipids,Lysolipid,420,OLTT,2.03786570847414,2.67027146183458,4.46337938423793e-116,115.350336196852,2.67027146183458
glycochenodeoxycholate,Metabolon HD4 [nt-ms],Lipids,Primary Bile Acid Metabolism,60,OLTT,2.1417159591664,2.66981917925661,1.3267344288499e-18,17.8772160007434,2.66981917925661
lactate,Metabolon HD4 [nt-ms],Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",15,PAT,2.37610662516351,2.65676970669745,1.4515217677995e-44,43.8381764468703,2.65676970669745
1-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],Lipids,Lysolipid,360,OLTT,2.02108516523106,2.65349091859151,4.46337938423793e-116,115.350336196852,2.65349091859151
1-linoleoyl-gpe (18:2),Metabolon HD4 [nt-ms],Lipids,Lysolipid,420,OLTT,1.71335955035394,2.63472906558705,2.12195673370515e-60,59.6732634755264,2.63472906558705
hexanoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),1920,Fasting,2.14061597286926,2.60299359599403,3.01379064315445e-25,24.5208869197987,2.60299359599403
o-methylcatechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,960,Fasting,-1.40299397890513,-2.59850289188505,7.80303044979663e-79,78.1077366983321,2.59850289188505
3-methylhistidine,Metabolon HD4 [nt-ms],Amino Acids,Histidine Metabolism,1920,Fasting,-0.622330494707811,-2.58100375759199,7.97402868472517e-52,51.0983222063968,2.58100375759199
isoleucine,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",1920,Fasting,2.45772262048607,2.57910550185129,3.36113440022851e-28,27.4735141212376,2.57910550185129
2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",300,OLTT,1.52688134579027,2.57744772473915,3.99387675505015e-24,23.3986053409244,2.57744772473915
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,1920,Fasting,-1.18255063514045,-2.57616178812276,2.31878367589272e-30,29.6347397656993,2.57616178812276
o-methylcatechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,840,Fasting,-1.35208816864493,-2.54759708162485,7.80303044979663e-79,78.1077366983321,2.54759708162485
glycochenodeoxycholate,Metabolon HD4 [nt-ms],Lipids,Primary Bile Acid Metabolism,90,OLTT,2.01117497213392,2.53927819222412,1.3267344288499e-18,17.8772160007434,2.53927819222412
myristoleoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),1920,Fasting,1.91572276347372,2.51697984673163,3.4961034548937e-23,22.4564157244287,2.51697984673163
3-hydroxy-3-methylglutarate,Metabolon HD4 [nt-ms],Lipids,Mevalonate Metabolism,90,OLTT,1.68939476066625,2.51304867434057,9.66999705213077e-40,39.0145736583103,2.51304867434057
mannitol/sorbitol,Metabolon HD4 [nt-ms],Carbohydrates,"Fructose, Mannose and Galactose Metabolism",360,Fasting,0.11250744034492,-2.48631981222358,1.12230387151151e-75,74.9498895389326,2.48631981222358
alpha-ketoglutarate,Metabolon HD4 [nt-ms],Energy,TCA Cycle,30,PAT,1.7550647553043,2.4718757458846,6.68533148107315e-11,10.1748770540966,2.4718757458846
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,480,Fasting,0.29850840264007,-2.46891723943571,2.76861567710467e-91,90.5577373262684,2.46891723943571
trigonelline (n'-methylnicotinate),Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,1920,Fasting,-0.378010158304924,-2.46721463477984,2.70510634457073e-14,13.5678156570075,2.46721463477984
pyruvate,Metabolon HD4 [nt-ms],Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",30,PAT,2.02828689875588,2.46588620210266,2.38005441859401e-22,21.623413112933,2.46588620210266
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,960,Fasting,-1.05865812959235,-2.45226928257465,2.31878367589272e-30,29.6347397656993,2.45226928257465
o-methylcatechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,720,Fasting,-1.24503793311555,-2.44054684609547,7.80303044979663e-79,78.1077366983321,2.44054684609547
2-hydroxybutyrate/2-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",840,Fasting,1.46768270087755,2.43817099789234,2.93072275304911e-77,76.5330252639621,2.43817099789234
3-hydroxybutyrate (bhba),Metabolon HD4 [nt-ms],Lipids,Ketone Bodies,960,Fasting,1.78526301513671,2.43690540179255,3.53079378918527e-105,104.452127646026,2.43690540179255
2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",360,OLTT,1.37508286509396,2.42564924404284,3.99387675505015e-24,23.3986053409244,2.42564924404284
catechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,480,Fasting,-0.842235947070584,-2.42378301015341,1.20508850451912e-230,229.918981056315,2.42378301015341
n-acetylglycine,Metabolon HD4 [nt-ms],Amino Acids,"Glycine, Serine and Threonine Metabolism",720,Fasting,1.59874620589598,2.42300931405499,1.67824593966112e-30,29.7751443948714,2.42300931405499
indolepropionate,Metabolon HD4 [nt-ms],Amino Acids,Tryptophan Metabolism,1920,Fasting,-0.865483721857114,-2.42108701826136,7.0990812449561e-52,51.1487978535435,2.42108701826136
