metabolite,platform_name,super_pathway,sub_pathway,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
pro-hydroxy-pro,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,240,OLTT,-0.702722190468744,-2.11665890642089,1.2426623685817e-64,63.9056468531604,2.11665890642089
pro-hydroxy-pro,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,300,OLTT,-0.701339175109755,-2.1152758910619,1.2426623685817e-64,63.9056468531604,2.1152758910619
glycoursodeoxycholate,Metabolon HD4 [nt-ms],Lipids,Secondary Bile Acid Metabolism,90,OLTT,1.68960467954098,2.11403810299385,2.74685458192847e-16,15.5611643314559,2.11403810299385
n-acetylmethionine,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",30,PAT,1.15080977359715,2.10791615421236,5.71487066644503e-18,17.2429935937,2.10791615421236
3-aminoisobutyrate,Metabolon HD4 [nt-ms],Nucleotides,"Pyrimidine Metabolism, Thymine containing",1920,Fasting,1.89593919355687,2.10623217353041,8.82270876728057e-23,22.0543980563565,2.10623217353041
malate,Metabolon HD4 [nt-ms],Energy,TCA Cycle,45,PAT,1.47423235583712,2.0985731907689,1.60825157388787e-50,49.7936460149125,2.0985731907689
12-hete,Metabolon HD4 [nt-ms],Lipids,Eicosanoid,1920,Fasting,1.46620871031235,2.09834850331691,1.0759200272162e-08,7.9682200084368,2.09834850331691
2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",180,OLTT,1.0458348263735,2.09640120532238,3.99387675505015e-24,23.3986053409244,2.09640120532238
vanillylmandelate (vma),Metabolon HD4 [nt-ms],Amino Acids,Phenylalanine and Tyrosine Metabolism,45,PAT,1.64886888601775,2.08860609344767,3.30538544428774e-17,16.4807778897134,2.08860609344767
3-hydroxybutyrylcarnitine (1),Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),960,Fasting,1.52417646366437,2.08118354248992,1.41493016963943e-114,113.849264993135,2.08118354248992
cortisol,Metabolon HD4 [nt-ms],Lipids,Steroid,420,OLTT,-0.507402754604845,-2.08110487484571,5.34502225118752e-21,20.2720504824949,2.08110487484571
3-hydroxyhippurate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,1920,Fasting,-0.367973594611087,-2.0752113649593,1.18351671913219e-17,16.9268256025633,2.0752113649593
3-hydroxyoctanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",360,OLTT,1.69054938347188,2.07358300366052,6.65129080123635e-46,45.1770940639518,2.07358300366052
tetradecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",960,Fasting,1.69049243380115,2.06862902306513,1.1915017066962e-44,43.9239053312376,2.06862902306513
taurochenodeoxycholate,Metabolon HD4 [nt-ms],Lipids,Primary Bile Acid Metabolism,90,OLTT,1.63916205086936,2.06451193068719,3.65356611103864e-18,17.4372830297176,2.06451193068719
3-hydroxyoctanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",420,OLTT,1.6800405032795,2.06307412346814,6.65129080123635e-46,45.1770940639518,2.06307412346814
3-hydroxy-3-methylglutarate,Metabolon HD4 [nt-ms],Lipids,Mevalonate Metabolism,180,OLTT,1.23790332336876,2.06155723704308,9.66999705213077e-40,39.0145736583103,2.06155723704308
acetylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),960,Fasting,1.11709439183156,2.06036100824552,8.87166345168411e-89,88.0519949415939,2.06036100824552
o-methylcatechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,480,Fasting,-0.853350131247744,-2.04885904422766,7.80303044979663e-79,78.1077366983321,2.04885904422766
3-methylhistidine,Metabolon HD4 [nt-ms],Amino Acids,Histidine Metabolism,960,Fasting,-0.0843426676303749,-2.04301593051456,7.97402868472517e-52,51.0983222063968,2.04301593051456
2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",420,OLTT,0.990529872024008,2.04109625097289,3.99387675505015e-24,23.3986053409244,2.04109625097289
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",1920,Fasting,1.8144977684295,2.0410114936986,4.63184426410282e-20,19.334246051262,2.0410114936986
methylsuccinate,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",30,PAT,1.28270861750066,2.03711434448124,6.3788363693502e-05,4.19525853827903,2.03711434448124
s-allylcysteine,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,840,Fasting,0.0340054980324092,-2.03674158006122,2.58077070457667e-81,80.5882505797881,2.03674158006122
catechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,360,Fasting,-0.450951868512452,-2.03249893159527,1.20508850451912e-230,229.918981056315,2.03249893159527
3-hydroxybutyrate (bhba),Metabolon HD4 [nt-ms],Lipids,Ketone Bodies,840,Fasting,1.3788048839443,2.03044727060014,3.53079378918527e-105,104.452127646026,2.03044727060014
3-hydroxybutyrylcarnitine (2),Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),960,Fasting,1.29764721569566,2.02677948743376,8.2488898650323e-56,55.0836044948357,2.02677948743376
trigonelline (n'-methylnicotinate),Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,720,Fasting,0.0626273738616272,-2.02657710261329,2.70510634457073e-14,13.5678156570075,2.02657710261329
inosine,Metabolon HD4 [nt-ms],Nucleotides,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",45,PAT,1.69965964052786,2.02505691459566,1.58037824895858e-13,12.8012389562256,2.02505691459566
palmitoyl ethanolamide,Metabolon HD4 [nt-ms],Lipids,Endocannabinoid,120,OLTT,-0.853877856816609,-2.02076481815848,6.42883241378505e-12,11.1918678952398,2.02076481815848
5-acetylamino-6-amino-3-methyluracil,Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,1920,Fasting,-0.496152816343701,-2.01258729918728,3.97830240265949e-08,7.40030220793488,2.01258729918728
3-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",960,Fasting,1.11523142522668,2.00881626911474,4.80761158291138e-22,21.318070627156,2.00881626911474
cortisol,Metabolon HD4 [nt-ms],Lipids,Steroid,240,OLTT,-0.428997829140728,-2.00269994938159,5.34502225118752e-21,20.2720504824949,2.00269994938159
mannitol/sorbitol,Metabolon HD4 [nt-ms],Carbohydrates,"Fructose, Mannose and Galactose Metabolism",240,Fasting,0.609862410913053,-1.98896484165544,1.12230387151151e-75,74.9498895389326,1.98896484165544
indolepropionate,Metabolon HD4 [nt-ms],Amino Acids,Tryptophan Metabolism,840,Fasting,-0.432291735101863,-1.98789503150611,7.0990812449561e-52,51.1487978535435,1.98789503150611
suberoyl carnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),840,Fasting,1.51632792522499,1.97693703841971,1.00578918364837e-76,75.9974930391338,1.97693703841971
acetylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),840,Fasting,1.03253974029215,1.97580635670611,8.87166345168411e-89,88.0519949415939,1.97580635670611
pro-hydroxy-pro,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,360,OLTT,-0.530131093769294,-1.94406780972144,1.2426623685817e-64,63.9056468531604,1.94406780972144
adipoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),960,Fasting,1.50666179997245,1.9265229158252,2.0093166038302e-52,51.6969516269834,1.9265229158252
oleoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),960,Fasting,0.983095074219302,1.91333450124938,3.4272565781269e-42,41.4650533813322,1.91333450124938
1-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],Lipids,Lysolipid,300,OLTT,1.26780621895191,1.90021197231236,4.46337938423793e-116,115.350336196852,1.90021197231236
3-methylhistidine,Metabolon HD4 [nt-ms],Amino Acids,Histidine Metabolism,840,Fasting,0.0710210775007403,-1.88765218538344,7.97402868472517e-52,51.0983222063968,1.88765218538344
pro-hydroxy-pro,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,180,OLTT,-0.472901918214325,-1.88683863416647,1.2426623685817e-64,63.9056468531604,1.88683863416647
dopamine sulfate (2),Metabolon HD4 [nt-ms],Amino Acids,Phenylalanine and Tyrosine Metabolism,120,OLTT,1.074439612254,1.87882655465262,2.10745233800531e-55,54.6762422385658,1.87882655465262
alpha-hydroxyisocaproate,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",960,Fasting,1.08474677998847,1.86847215371435,6.75315919025682e-43,42.1704930126617,1.86847215371435
3-hydroxybutyrylcarnitine (2),Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),840,Fasting,1.11248296965907,1.84161524139718,8.2488898650323e-56,55.0836044948357,1.84161524139718
oleoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),840,Fasting,0.908721995639239,1.83896142266932,3.4272565781269e-42,41.4650533813322,1.83896142266932
s-allylcysteine,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,720,Fasting,0.233335982027394,-1.83741109606624,2.58077070457667e-81,80.5882505797881,1.83741109606624
s-1-pyrroline-5-carboxylate,Metabolon HD4 [nt-ms],Amino Acids,Glutamate Metabolism,1920,Fasting,-1.32564277236553,-1.82642153576693,1.3303531603168e-44,43.8760330543583,1.82642153576693
1-linoleoyl-gpe (18:2),Metabolon HD4 [nt-ms],Lipids,Lysolipid,300,OLTT,0.896009129253663,1.81737864448677,2.12195673370515e-60,59.6732634755264,1.81737864448677
indolepropionate,Metabolon HD4 [nt-ms],Amino Acids,Tryptophan Metabolism,720,Fasting,-0.259971055925536,-1.81557435232978,7.0990812449561e-52,51.1487978535435,1.81557435232978
2-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],Lipids,Lysolipid,360,OLTT,1.78307720106656,1.78358172555135,2.52276308252692e-44,43.5981235329872,1.78358172555135
2-aminobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",960,Fasting,1.54244834539688,1.78017754860627,2.70684885537318e-54,53.5675359936237,1.78017754860627
octadecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",1920,Fasting,1.2624502512682,1.77559585940241,1.8426762695343e-51,50.7345509570784,1.77559585940241
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",840,Fasting,1.20838427086516,1.76582378923222,9.50891327156272e-56,55.0218691136758,1.76582378923222
pro-hydroxy-pro,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,420,OLTT,-0.349232684813517,-1.76316940076566,1.2426623685817e-64,63.9056468531604,1.76316940076566
s-1-pyrroline-5-carboxylate,Metabolon HD4 [nt-ms],Amino Acids,Glutamate Metabolism,960,Fasting,-1.25826437377313,-1.75904313717453,1.3303531603168e-44,43.8760330543583,1.75904313717453
succinate,Metabolon HD4 [nt-ms],Energy,TCA Cycle,15,PAT,1.47871725224479,1.75555700713961,4.27261022007753e-77,76.3693067250135,1.75555700713961
oleoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),720,Fasting,0.82193581713881,1.75217524416889,3.4272565781269e-42,41.4650533813322,1.75217524416889
3-hydroxyoctanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",480,OLTT,1.350153175985,1.73318679617364,6.65129080123635e-46,45.1770940639518,1.73318679617364
2-hydroxybutyrate/2-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",720,Fasting,0.742265845977537,1.71275414299233,2.93072275304911e-77,76.5330252639621,1.71275414299233
alliin,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,1920,Fasting,-0.334498840138967,-1.71131410296212,6.60733033482753e-84,83.1799739800077,1.71131410296212
tetradecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",1920,Fasting,1.32243954667539,1.70057613593937,1.1915017066962e-44,43.9239053312376,1.70057613593937
octadecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",840,Fasting,1.18380470585405,1.69695031398826,1.8426762695343e-51,50.7345509570784,1.69695031398826
o-methylcatechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,360,Fasting,-0.500368256010323,-1.69587716899024,7.80303044979663e-79,78.1077366983321,1.69587716899024
1-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],Lipids,Lysolipid,240,OLTT,1.04163798510224,1.67404373846269,4.46337938423793e-116,115.350336196852,1.67404373846269
3-hydroxybutyrylcarnitine (1),Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),840,Fasting,1.10039162316534,1.65739870199089,1.41493016963943e-114,113.849264993135,1.65739870199089
3-methylhistidine,Metabolon HD4 [nt-ms],Amino Acids,Histidine Metabolism,720,Fasting,0.30354715640918,-1.655126106475,7.97402868472517e-52,51.0983222063968,1.655126106475
hexadecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",1920,Fasting,1.21510527816427,1.64866948757201,2.5378246319385e-62,61.5955383917026,1.64866948757201
s-1-pyrroline-5-carboxylate,Metabolon HD4 [nt-ms],Amino Acids,Glutamate Metabolism,840,Fasting,-1.13818730751795,-1.63896607091934,1.3303531603168e-44,43.8760330543583,1.63896607091934
dopamine sulfate (2),Metabolon HD4 [nt-ms],Amino Acids,Phenylalanine and Tyrosine Metabolism,300,OLTT,0.824465097553325,1.62885203995195,2.10745233800531e-55,54.6762422385658,1.62885203995195
4-vinylphenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,1920,Fasting,-0.475690857266216,-1.62333511145455,2.49615717487145e-55,54.6027280720224,1.62333511145455
methionine sulfoxide,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",180,OLTT,1.53876741970288,1.61637242675993,9.57492557154863e-54,53.0188645932331,1.61637242675993
s-allylcysteine,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,600,Fasting,0.462311795333058,-1.60843528276057,2.58077070457667e-81,80.5882505797881,1.60843528276057
2-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],Lipids,Lysolipid,420,OLTT,1.59821841082403,1.59872293530882,2.52276308252692e-44,43.5981235329872,1.59872293530882
1-linoleoyl-gpe (18:2),Metabolon HD4 [nt-ms],Lipids,Lysolipid,240,OLTT,0.657187501970718,1.57855701720383,2.12195673370515e-60,59.6732634755264,1.57855701720383
alpha-hydroxyisocaproate,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",840,Fasting,0.788222663730997,1.57194803745688,6.75315919025682e-43,42.1704930126617,1.57194803745688
acetylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),720,Fasting,0.617696841498498,1.56096345791246,8.87166345168411e-89,88.0519949415939,1.56096345791246
pro-hydroxy-pro,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,120,OLTT,-0.134385858845753,-1.5483225747979,1.2426623685817e-64,63.9056468531604,1.5483225747979
malate,Metabolon HD4 [nt-ms],Energy,TCA Cycle,15,PAT,0.923858009922068,1.54819884485384,1.60825157388787e-50,49.7936460149125,1.54819884485384
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,240,Fasting,1.2541998584277,-1.51322578364808,2.76861567710467e-91,90.5577373262684,1.51322578364808
indolepropionate,Metabolon HD4 [nt-ms],Amino Acids,Tryptophan Metabolism,600,Fasting,0.0498152480501972,-1.50578804835405,7.0990812449561e-52,51.1487978535435,1.50578804835405
3-methylhistidine,Metabolon HD4 [nt-ms],Amino Acids,Histidine Metabolism,600,Fasting,0.464479707926666,-1.49419355495752,7.97402868472517e-52,51.0983222063968,1.49419355495752
pro-hydroxy-pro,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,480,OLTT,-0.0769815013453107,-1.49091821729746,1.2426623685817e-64,63.9056468531604,1.49091821729746
hexadecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",840,Fasting,1.05192812612488,1.48549233553262,2.5378246319385e-62,61.5955383917026,1.48549233553262
tetradecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",840,Fasting,1.09126459162631,1.46940118089029,1.1915017066962e-44,43.9239053312376,1.46940118089029
leucine,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",960,Fasting,1.35773724374702,1.46077272409372,6.02975998400467e-41,40.2196999747084,1.46077272409372
catechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,240,Fasting,0.132284724930657,-1.44926233815216,1.20508850451912e-230,229.918981056315,1.44926233815216
2-aminobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",840,Fasting,1.20052195688636,1.43825116009575,2.70684885537318e-54,53.5675359936237,1.43825116009575
3-hydroxybutyrate (bhba),Metabolon HD4 [nt-ms],Lipids,Ketone Bodies,720,Fasting,0.766134350061663,1.4177767367175,3.53079378918527e-105,104.452127646026,1.4177767367175
2-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],Lipids,Lysolipid,480,OLTT,1.41463050639902,1.4151350308838,2.52276308252692e-44,43.5981235329872,1.4151350308838
s-allylcysteine,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,480,Fasting,0.664945569200693,-1.40580150889294,2.58077070457667e-81,80.5882505797881,1.40580150889294
alliin,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,960,Fasting,-0.00958756634651741,-1.38640282916967,6.60733033482753e-84,83.1799739800077,1.38640282916967
4-vinylphenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,960,Fasting,-0.230101322813339,-1.37774557700167,2.49615717487145e-55,54.6027280720224,1.37774557700167
3-hydroxybutyrylcarnitine (2),Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),720,Fasting,0.639532474968898,1.368664746707,8.2488898650323e-56,55.0836044948357,1.368664746707
adipoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),840,Fasting,0.945477898004862,1.36533901385762,2.0093166038302e-52,51.6969516269834,1.36533901385762
arginine,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,360,OLTT,-0.964593937472762,-1.35292554786972,7.0145163669061e-46,45.1540022671053,1.35292554786972
oleoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),600,Fasting,0.41411656140887,1.34435598843895,3.4272565781269e-42,41.4650533813322,1.34435598843895
2-hydroxybutyrate/2-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",600,Fasting,0.356892510223587,1.32738080723838,2.93072275304911e-77,76.5330252639621,1.32738080723838
oleoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),480,Fasting,0.381817560302321,1.3120569873324,3.4272565781269e-42,41.4650533813322,1.3120569873324
3-methylhistidine,Metabolon HD4 [nt-ms],Amino Acids,Histidine Metabolism,480,Fasting,0.64859667786904,-1.31007658501514,7.97402868472517e-52,51.0983222063968,1.31007658501514
3-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",360,OLTT,0.905668616020859,1.30947977961675,1.00309449620178e-44,43.9986581524772,1.30947977961675
methionine sulfoxide,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",90,OLTT,1.23186868353333,1.30947369059037,9.57492557154863e-54,53.0188645932331,1.30947369059037
alpha-hydroxyisocaproate,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",720,Fasting,0.524972186114038,1.30869755983992,6.75315919025682e-43,42.1704930126617,1.30869755983992
acetylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),600,Fasting,0.358011190628207,1.30127780704217,8.87166345168411e-89,88.0519949415939,1.30127780704217
arginine,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,420,OLTT,-0.907369573605808,-1.29570118400277,7.0145163669061e-46,45.1540022671053,1.29570118400277
1-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],Lipids,Lysolipid,180,OLTT,0.660893400525524,1.29329915388597,4.46337938423793e-116,115.350336196852,1.29329915388597
3-methylhistidine,Metabolon HD4 [nt-ms],Amino Acids,Histidine Metabolism,360,Fasting,0.669112764019083,-1.2895604988651,7.97402868472517e-52,51.0983222063968,1.2895604988651
1-linoleoyl-gpe (18:2),Metabolon HD4 [nt-ms],Lipids,Lysolipid,180,OLTT,0.367885238273612,1.28925475350672,2.12195673370515e-60,59.6732634755264,1.28925475350672
lactate,Metabolon HD4 [nt-ms],Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",45,PAT,0.999700277689196,1.28036335922314,1.4515217677995e-44,43.8381764468703,1.28036335922314
phosphate,Metabolon HD4 [nt-ms],Energy,Oxidative Phosphorylation,120,OLTT,-1.62001487706463,-1.27805698888702,4.17081800212746e-46,45.3797787606208,1.27805698888702
"2,3-dihydroxyisovalerate",Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,180,OLTT,0.699777562922427,1.27638948869501,1.51069920651912e-42,41.8208219988993,1.27638948869501
4-vinylphenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,840,Fasting,-0.120320736167294,-1.26796499035562,2.49615717487145e-55,54.6027280720224,1.26796499035562
o-methylcatechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,240,Fasting,-0.0405736740887533,-1.23608258706867,7.80303044979663e-79,78.1077366983321,1.23608258706867
mannitol/sorbitol,Metabolon HD4 [nt-ms],Carbohydrates,"Fructose, Mannose and Galactose Metabolism",120,Fasting,1.36361628323367,-1.23521096933483,1.12230387151151e-75,74.9498895389326,1.23521096933483
pro-hydroxy-pro,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,90,OLTT,0.179051522013149,-1.234885193939,1.2426623685817e-64,63.9056468531604,1.234885193939
tetradecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",720,Fasting,0.852842391388636,1.23097898065262,1.1915017066962e-44,43.9239053312376,1.23097898065262
3-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",420,OLTT,0.82579825259084,1.22960941618673,1.00309449620178e-44,43.9986581524772,1.22960941618673
2-oleoyl-gpe (18:1),Metabolon HD4 [nt-ms],Lipids,Lysolipid,300,OLTT,1.21193156466611,1.21243608915089,2.52276308252692e-44,43.5981235329872,1.21243608915089
leucine,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",840,Fasting,1.10930213851923,1.21233761886594,6.02975998400467e-41,40.2196999747084,1.21233761886594
hexadecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",720,Fasting,0.774195207475321,1.20775941688306,2.5378246319385e-62,61.5955383917026,1.20775941688306
alliin,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,840,Fasting,0.180782650035257,-1.19603261278789,6.60733033482753e-84,83.1799739800077,1.19603261278789
methionine,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",360,OLTT,-0.624736057169152,-1.18938035653748,1.98963860174699e-45,44.7012258017414,1.18938035653748
1-linoleoyl-gpe (18:2),Metabolon HD4 [nt-ms],Lipids,Lysolipid,120,OLTT,0.264685617506266,1.18605513273938,2.12195673370515e-60,59.6732634755264,1.18605513273938
3-hydroxyoctanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",300,OLTT,0.801908729103586,1.18494234929223,6.65129080123635e-46,45.1770940639518,1.18494234929223
suberoyl carnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),720,Fasting,0.72151027263161,1.18211938582632,1.00578918364837e-76,75.9974930391338,1.18211938582632
arginine,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,300,OLTT,-0.79242529467965,-1.18075690507661,7.0145163669061e-46,45.1540022671053,1.18075690507661
octadecanedioate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Dicarboxylate",720,Fasting,0.666851691560983,1.17999729969519,1.8426762695343e-51,50.7345509570784,1.17999729969519
phosphate,Metabolon HD4 [nt-ms],Energy,Oxidative Phosphorylation,90,OLTT,-1.52131632185502,-1.17935843367741,4.17081800212746e-46,45.3797787606208,1.17935843367741
methionine,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",420,OLTT,-0.609945051963721,-1.17458935133205,1.98963860174699e-45,44.7012258017414,1.17458935133205
o-acetylhomoserine,Metabolon HD4 [nt-ms],Amino Acids,"Glycine, Serine and Threonine Metabolism",120,Fasting,2.01798627581077,-1.17363542253352,2.6495403138587e-50,49.5768294681281,1.17363542253352
s-allylcysteine,Metabolon HD4 [nt-ms],Xenobiotics,Food Component/Plant,360,Fasting,0.898661580062625,-1.17208549803101,2.58077070457667e-81,80.5882505797881,1.17208549803101
indolepropionate,Metabolon HD4 [nt-ms],Amino Acids,Tryptophan Metabolism,480,Fasting,0.389731816940827,-1.16587147946342,7.0990812449561e-52,51.1487978535435,1.16587147946342
dopamine sulfate (2),Metabolon HD4 [nt-ms],Amino Acids,Phenylalanine and Tyrosine Metabolism,360,OLTT,0.348568144410769,1.15295508680939,2.10745233800531e-55,54.6762422385658,1.15295508680939
arginine,Metabolon HD4 [nt-ms],Amino Acids,Urea cycle; Arginine and Proline Metabolism,480,OLTT,-0.750751799179015,-1.13908340957598,7.0145163669061e-46,45.1540022671053,1.13908340957598
acetylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),420,OLTT,0.64772467504116,1.13147851793447,1.5407899356222e-48,47.8122565670044,1.13147851793447
succinate,Metabolon HD4 [nt-ms],Energy,TCA Cycle,45,PAT,0.847766716132469,1.12460647102729,4.27261022007753e-77,76.3693067250135,1.12460647102729
methionine,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",300,OLTT,-0.554748691297467,-1.11939299066579,1.98963860174699e-45,44.7012258017414,1.11939299066579
